What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
31-40,Female,Employed,No,No,Less than 1 year,No,No role at all,Other;Family pressure or support;Personal research and aspirations,Canada,Rarely,Desire for independence;Better job opportunities;Economic opportunities,Visa or immigration concerns,Talking to family and friends,No change,Educational qualification;Family pressure or support;Job information or experience,Yes,Not sure,No,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Personal research and aspirations;Family pressure or support,"Europe (e.g., Germany, Sweden)",Never,Better job opportunities;Desire for independence;Better living standards,Separation from family,Other,Yes,Financial issues;All country Embassy is not in Bangladesh;Educational qualification,Yes,Negative impact,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Social media and online success stories;Personal research and aspirations,UK,Never,Better living standards;Healthcare;Desire for independence,Nothing,Hobbies or physical exercise,Yes,Educational qualification;Visa or immigration process;Job information or experience,Yes,No impact,Not Sure,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Other;Family pressure or support,UK,Rarely,Better job opportunities;Economic opportunities;Healthcare,Nothing,Professional counseling,No change,Other;Family pressure or support;Financial issues,No,Not sure,Yes,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,UK,Never,Better job opportunities;Political stability;Healthcare,Social acceptance;Separation from family,Other,No,Job information or experience;Other;All country Embassy is not in Bangladesh,Not sure,No impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Social media and online success stories;Personal research and aspirations,Canada,Rarely,Economic opportunities;Better job opportunities;Political stability,Nothing,Other,No,Job information or experience;Educational qualification;Visa or immigration process,Not sure,Positive impact,No,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,Australia,Rarely,Better living standards;Desire for independence;Better job opportunities,Nothing,Other,No change,Job information or experience;Financial issues;Other,Not sure,Not sure,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Family pressure or support;Social media and online success stories,Canada,Rarely,Better living standards;Better job opportunities;Desire for independence,Separation from family;Job uncertainty,Other,No change,Job information or experience;Visa or immigration process;Financial issues,Not sure,Not sure,No,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A moderate role,Other;Social media and online success stories;Friends or peer influence,Australia,Rarely,Economic opportunities;Political stability;Better living standards,Separation from family;Cultural shock;Other,Joining online forums,No change,All country Embassy is not in Bangladesh;Family pressure or support;Educational qualification,Yes,Negative impact,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Personal research and aspirations;Friends or peer influence,Australia,Never,Better job opportunities;Better living standards;Healthcare,Nothing,Talking to family and friends,No,Other;All country Embassy is not in Bangladesh;Visa or immigration process,Yes,Negative impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Other;Friends or peer influence;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Never,Better job opportunities;Healthcare;Economic opportunities,Separation from family,Joining online forums,No,Family pressure or support;Other;Educational qualification,Yes,Positive impact,Not Sure,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Friends or peer influence;Career mentors or teachers,Canada,Rarely,Political stability;Economic opportunities;Desire for independence,Nothing,Joining online forums,Yes,Job information or experience;Financial issues;Visa or immigration process,No,Negative impact,Not Sure,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Personal research and aspirations;Social media and online success stories,Australia,Rarely,Desire for independence;Better living standards;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Joining online forums,No change,Educational qualification;Financial issues;Job information or experience,No,No impact,No,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Social media and online success stories;Personal research and aspirations,USA,Never,Higher education;Better job opportunities;Healthcare,Social acceptance;Cultural shock,Talking to family and friends,No,Other;Family pressure or support;All country Embassy is not in Bangladesh,No,Negative impact,Yes,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Personal research and aspirations;Career mentors or teachers,UK,Rarely,Desire for independence;Healthcare;Economic opportunities,Nothing,Professional counseling,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Educational qualification,No,Not sure,Not Sure,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Family pressure or support;Social media and online success stories,USA,Never,Better living standards;Higher education;Political stability,Cultural shock;Social acceptance,Hobbies or physical exercise,Yes,Other;Financial issues;Family pressure or support,No,Positive impact,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,No role at all,Other;Personal research and aspirations;Family pressure or support,"Europe (e.g., Germany, Sweden)",Never,Better job opportunities;Better living standards;Desire for independence,Social acceptance;Separation from family,Joining online forums,No change,All country Embassy is not in Bangladesh;Financial issues;Other,No,Negative impact,Yes,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A moderate role,Other;Personal research and aspirations;Social media and online success stories,Australia,Never,Better living standards;Economic opportunities;Other,Separation from family,Talking to family and friends,No,Job information or experience;Visa or immigration process;Educational qualification,Not sure,Positive impact,No,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Social media and online success stories;Personal research and aspirations,USA,Never,Healthcare;Political stability;Desire for independence,Nothing,Hobbies or physical exercise,No,Other;Financial issues;Family pressure or support,Not sure,Negative impact,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Social media and online success stories;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Economic opportunities;Desire for independence;Higher education,Separation from family;Visa or immigration concerns;Cultural shock,Hobbies or physical exercise,No,Financial issues;Job information or experience;Other,Not sure,Not sure,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Personal research and aspirations;Friends or peer influence;Social media and online success stories,UK,Never,Higher education;Economic opportunities;Political stability,Nothing,Hobbies or physical exercise,I’m not sure,Family pressure or support;Educational qualification;Visa or immigration process,No,No impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Family pressure or support;Friends or peer influence;Social media and online success stories,UK,Never,Better living standards;Desire for independence;Better job opportunities,Language barriers;Other,Talking to family and friends,No change,Family pressure or support;Job information or experience;Financial issues,Not sure,Negative impact,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Career mentors or teachers;Social media and online success stories,Canada,Rarely,Better job opportunities;Better living standards;Political stability,Nothing,Other,I’m not sure,Educational qualification;Job information or experience;All country Embassy is not in Bangladesh,Yes,Not sure,Yes,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Family pressure or support;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Higher education;Better job opportunities;Political stability,Other;Visa or immigration concerns,Talking to family and friends,No change,Other;Visa or immigration process;Educational qualification,No,Negative impact,No,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Personal research and aspirations;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Never,Political stability;Economic opportunities;Other,Nothing,Talking to family and friends,I’m not sure,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,Not sure,Not sure,Yes,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Personal research and aspirations;Friends or peer influence,Canada,Never,Healthcare;Economic opportunities;Desire for independence,Language barriers;Other;Separation from family,Talking to family and friends,No change,Job information or experience;Family pressure or support;Visa or immigration process,Yes,Not sure,Yes,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Personal research and aspirations;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Never,Desire for independence;Better living standards;Better job opportunities,Separation from family;Visa or immigration concerns;Social acceptance,Hobbies or physical exercise,Yes,Financial issues;Educational qualification;All country Embassy is not in Bangladesh,Yes,Negative impact,Not Sure,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Other;Social media and online success stories;Personal research and aspirations,Canada,Rarely,Desire for independence;Higher education;Other,Separation from family;Social acceptance,Joining online forums,Yes,Educational qualification;Other;All country Embassy is not in Bangladesh,Not sure,Positive impact,No,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Desire for independence;Better job opportunities;Higher education,Language barriers,Professional counseling,Yes,Visa or immigration process;Job information or experience;Educational qualification,Yes,No impact,Not Sure,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Friends or peer influence;Career mentors or teachers,USA,Rarely,Better job opportunities;Political stability;Desire for independence,Other,Other,Yes,Financial issues;Job information or experience;Family pressure or support,Yes,Positive impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Other;Personal research and aspirations;Friends or peer influence,Canada,Never,Desire for independence;Other;Healthcare,Cultural shock,Other,Yes,Visa or immigration process;Financial issues;Family pressure or support,Yes,No impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,Canada,Never,Better job opportunities;Better living standards;Healthcare,Job uncertainty;Language barriers;Visa or immigration concerns,Joining online forums,No,Family pressure or support;All country Embassy is not in Bangladesh;Job information or experience,No,No impact,Yes,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Never,Healthcare;Political stability;Better job opportunities,Visa or immigration concerns,Joining online forums,No change,Other;All country Embassy is not in Bangladesh;Educational qualification,No,Positive impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Personal research and aspirations;Social media and online success stories,Canada,Rarely,Other;Higher education;Economic opportunities,Social acceptance;Cultural shock;Separation from family,Talking to family and friends,No,Other;Visa or immigration process;Family pressure or support,No,Not sure,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Career mentors or teachers;Friends or peer influence,Canada,Rarely,Higher education;Political stability;Better living standards,Nothing,Professional counseling,No change,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,No,No impact,Not Sure,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Family pressure or support;Friends or peer influence;Social media and online success stories,USA,Never,Higher education;Better living standards;Healthcare,Separation from family,Professional counseling,No,Other;Family pressure or support;Educational qualification,No,Not sure,Not Sure,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Family pressure or support;Personal research and aspirations;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Healthcare;Political stability;Better job opportunities,Nothing,Professional counseling,No change,Educational qualification;All country Embassy is not in Bangladesh;Visa or immigration process,No,No impact,Not Sure,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Other;Family pressure or support,Canada,Rarely,Healthcare;Economic opportunities;Better job opportunities,Nothing,Talking to family and friends,Yes,Visa or immigration process;Educational qualification;Financial issues,Yes,Negative impact,No,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Social media and online success stories,UK,Never,Higher education;Economic opportunities;Healthcare,Visa or immigration concerns;Cultural shock,Other,No,Job information or experience;All country Embassy is not in Bangladesh;Family pressure or support,No,No impact,No,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Career mentors or teachers;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Rarely,Desire for independence;Political stability;Better job opportunities,Social acceptance;Language barriers,Hobbies or physical exercise,No,Family pressure or support;Financial issues;Visa or immigration process,No,Negative impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Other;Friends or peer influence;Family pressure or support,Australia,Never,Economic opportunities;Higher education;Political stability,Nothing,Joining online forums,No change,Family pressure or support;Visa or immigration process;Financial issues,Not sure,Not sure,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Career mentors or teachers;Personal research and aspirations,USA,Never,Better job opportunities;Political stability;Economic opportunities,Cultural shock;Language barriers;Other,Other,I’m not sure,Other;Job information or experience;Financial issues,Yes,Negative impact,Yes,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Other;Personal research and aspirations;Family pressure or support,Australia,Rarely,Other;Economic opportunities;Better job opportunities,Cultural shock,Joining online forums,No,Educational qualification;Visa or immigration process;Financial issues,Not sure,Positive impact,Yes,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Other;Family pressure or support;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Political stability;Healthcare;Better job opportunities,Language barriers;Visa or immigration concerns,Hobbies or physical exercise,No change,Educational qualification;Financial issues;Family pressure or support,Yes,Negative impact,Yes,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Other;Family pressure or support;Personal research and aspirations,USA,Rarely,Political stability;Better living standards;Healthcare,Other;Cultural shock,Other,No,Job information or experience;Educational qualification;Family pressure or support,Not sure,Not sure,No,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,Canada,Never,Desire for independence;Political stability;Healthcare,Separation from family,Talking to family and friends,No,Family pressure or support;Visa or immigration process;Educational qualification,Yes,Positive impact,Yes,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,USA,Never,Better living standards;Economic opportunities;Healthcare,Language barriers,Professional counseling,Yes,Family pressure or support;Financial issues;Job information or experience,No,Negative impact,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,UK,Rarely,Other;Desire for independence;Economic opportunities,Separation from family;Cultural shock,Talking to family and friends,No change,Educational qualification;All country Embassy is not in Bangladesh;Family pressure or support,No,Not sure,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Family pressure or support;Career mentors or teachers,UK,Rarely,Other;Desire for independence;Political stability,Separation from family;Cultural shock,Professional counseling,No change,All country Embassy is not in Bangladesh;Financial issues;Educational qualification,No,Not sure,No,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Career mentors or teachers;Personal research and aspirations,Australia,Never,Healthcare;Better living standards;Political stability,Nothing,Other,No,Family pressure or support;Other;Job information or experience,Not sure,Not sure,No,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Career mentors or teachers;Family pressure or support,USA,Never,Political stability;Economic opportunities;Other,Language barriers,Hobbies or physical exercise,No change,All country Embassy is not in Bangladesh;Other;Visa or immigration process,Yes,No impact,Not Sure,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Friends or peer influence;Career mentors or teachers,UK,Never,Economic opportunities;Better job opportunities;Higher education,Language barriers,Professional counseling,I’m not sure,Visa or immigration process;Job information or experience;Educational qualification,Yes,Not sure,Not Sure,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,UK,Never,Higher education;Economic opportunities;Other,Nothing,Other,I’m not sure,Visa or immigration process;Educational qualification;Financial issues,Yes,Negative impact,No,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Higher education;Political stability;Healthcare,Social acceptance;Other;Separation from family,Joining online forums,No change,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,Yes,Not sure,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Personal research and aspirations;Social media and online success stories,Australia,Rarely,Political stability;Healthcare;Better living standards,Nothing,Professional counseling,No,Other;Family pressure or support;Visa or immigration process,Yes,No impact,No,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Career mentors or teachers;Friends or peer influence,USA,Rarely,Better job opportunities;Economic opportunities;Better living standards,Social acceptance;Visa or immigration concerns;Language barriers,Other,Yes,Educational qualification;Other;Financial issues,Not sure,Not sure,Yes,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Social media and online success stories;Career mentors or teachers,USA,Rarely,Desire for independence;Economic opportunities;Political stability,Cultural shock,Hobbies or physical exercise,No change,Visa or immigration process;Job information or experience;Family pressure or support,No,Positive impact,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Personal research and aspirations;Family pressure or support,Australia,Rarely,Healthcare;Other;Higher education,Nothing,Other,No,Job information or experience;Educational qualification;Financial issues,Not sure,Positive impact,Yes,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Other;Friends or peer influence,Canada,Rarely,Other;Desire for independence;Higher education,Nothing,Hobbies or physical exercise,Yes,Educational qualification;Financial issues;Job information or experience,No,No impact,No,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Friends or peer influence;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Desire for independence;Political stability;Economic opportunities,Job uncertainty;Other;Separation from family,Hobbies or physical exercise,I’m not sure,Visa or immigration process;Financial issues;Educational qualification,Not sure,Not sure,Yes,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Family pressure or support;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Better job opportunities;Economic opportunities;Healthcare,Nothing,Hobbies or physical exercise,Yes,Educational qualification;Job information or experience;Visa or immigration process,Not sure,Positive impact,Yes,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,UK,Rarely,Better living standards;Other;Better job opportunities,Separation from family;Job uncertainty,Professional counseling,Yes,Family pressure or support;Visa or immigration process;All country Embassy is not in Bangladesh,Yes,No impact,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Personal research and aspirations;Career mentors or teachers;Other,"Europe (e.g., Germany, Sweden)",Never,Higher education;Desire for independence;Political stability,Social acceptance,Other,Yes,Educational qualification;Financial issues;Job information or experience,Yes,No impact,Not Sure,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Other;Family pressure or support,USA,Never,Other;Higher education;Desire for independence,Social acceptance,Other,Yes,Job information or experience;Other;Financial issues,Not sure,Not sure,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Family pressure or support;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Never,Healthcare;Higher education;Desire for independence,Separation from family;Cultural shock,Talking to family and friends,Yes,Job information or experience;Educational qualification;All country Embassy is not in Bangladesh,Not sure,Positive impact,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,UK,Never,Better job opportunities;Healthcare;Desire for independence,Visa or immigration concerns;Separation from family,Talking to family and friends,No,Visa or immigration process;Job information or experience;All country Embassy is not in Bangladesh,No,Positive impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Personal research and aspirations;Family pressure or support,Australia,Rarely,Desire for independence;Economic opportunities;Better job opportunities,Visa or immigration concerns;Other,Joining online forums,No,Educational qualification;Family pressure or support;Financial issues,No,Positive impact,Yes,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Other;Social media and online success stories,UK,Rarely,Economic opportunities;Desire for independence;Healthcare,Social acceptance,Other,I’m not sure,Job information or experience;All country Embassy is not in Bangladesh;Financial issues,No,Not sure,Not Sure,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Career mentors or teachers;Personal research and aspirations,USA,Never,Economic opportunities;Higher education;Better living standards,Cultural shock;Social acceptance,Professional counseling,I’m not sure,Job information or experience;All country Embassy is not in Bangladesh;Visa or immigration process,Not sure,Positive impact,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Personal research and aspirations;Career mentors or teachers,Australia,Never,Other;Political stability;Desire for independence,Other;Language barriers;Separation from family,Hobbies or physical exercise,No change,Other;Family pressure or support;Educational qualification,No,Negative impact,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Social media and online success stories;Career mentors or teachers,USA,Rarely,Political stability;Other;Desire for independence,Job uncertainty;Visa or immigration concerns;Social acceptance,Joining online forums,No,Visa or immigration process;Educational qualification;Other,No,Positive impact,Yes,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Personal research and aspirations;Social media and online success stories;Family pressure or support,USA,Rarely,Better job opportunities;Economic opportunities;Healthcare,Separation from family,Other,No,Other;Educational qualification;Family pressure or support,Not sure,Positive impact,Yes,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Career mentors or teachers;Friends or peer influence,USA,Never,Desire for independence;Political stability;Better living standards,Other;Language barriers,Hobbies or physical exercise,Yes,Family pressure or support;Visa or immigration process;Educational qualification,Not sure,Negative impact,Not Sure,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Other;Social media and online success stories,USA,Never,Higher education;Desire for independence;Healthcare,Cultural shock,Hobbies or physical exercise,Yes,Visa or immigration process;Educational qualification;Job information or experience,Not sure,Positive impact,No,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Social media and online success stories;Family pressure or support,USA,Rarely,Political stability;Economic opportunities;Higher education,Visa or immigration concerns;Cultural shock;Separation from family,Hobbies or physical exercise,No,Educational qualification;All country Embassy is not in Bangladesh;Other,No,Negative impact,No,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Social media and online success stories;Friends or peer influence;Personal research and aspirations,Australia,Rarely,Healthcare;Better job opportunities;Economic opportunities,Social acceptance;Language barriers;Cultural shock,Joining online forums,Yes,All country Embassy is not in Bangladesh;Family pressure or support;Job information or experience,No,No impact,No,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Social media and online success stories;Family pressure or support,USA,Never,Other;Political stability;Economic opportunities,Visa or immigration concerns;Job uncertainty,Joining online forums,Yes,Financial issues;Job information or experience;All country Embassy is not in Bangladesh,Not sure,No impact,No,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Social media and online success stories;Personal research and aspirations,Australia,Never,Better job opportunities;Healthcare;Higher education,Other;Job uncertainty;Language barriers,Hobbies or physical exercise,No change,All country Embassy is not in Bangladesh;Family pressure or support;Job information or experience,Yes,Negative impact,Yes,Yes,1
31-40,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Other;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Healthcare;Economic opportunities;Better living standards,Job uncertainty,Joining online forums,I’m not sure,Financial issues;Other;Educational qualification,No,Negative impact,Yes,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A moderate role,Social media and online success stories;Career mentors or teachers;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Never,Other;Political stability;Better job opportunities,Social acceptance;Language barriers,Talking to family and friends,I’m not sure,Family pressure or support;Visa or immigration process;Job information or experience,Yes,Positive impact,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Social media and online success stories;Personal research and aspirations,Canada,Never,Political stability;Healthcare;Higher education,Other;Separation from family,Joining online forums,No change,All country Embassy is not in Bangladesh;Financial issues;Family pressure or support,Not sure,No impact,No,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Other;Better living standards;Healthcare,Other;Separation from family,Hobbies or physical exercise,No,Financial issues;Job information or experience;Visa or immigration process,Not sure,No impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Personal research and aspirations;Other,USA,Never,Better living standards;Healthcare;Political stability,Nothing,Professional counseling,No change,Financial issues;Educational qualification;Family pressure or support,Yes,No impact,Not Sure,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Other,Canada,Never,Healthcare;Better job opportunities;Desire for independence,Social acceptance;Cultural shock,Professional counseling,I’m not sure,Visa or immigration process;All country Embassy is not in Bangladesh;Educational qualification,Not sure,Negative impact,Not Sure,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Other;Personal research and aspirations;Career mentors or teachers,UK,Never,Healthcare;Other;Better job opportunities,Job uncertainty;Visa or immigration concerns,Other,I’m not sure,Visa or immigration process;Job information or experience;Financial issues,Not sure,Not sure,Yes,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Personal research and aspirations;Friends or peer influence,Australia,Rarely,Other;Economic opportunities;Political stability,Other;Language barriers,Other,No,Job information or experience;Other;All country Embassy is not in Bangladesh,Not sure,No impact,No,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Career mentors or teachers;Family pressure or support,Canada,Never,Economic opportunities;Better living standards;Desire for independence,Social acceptance;Job uncertainty,Other,Yes,Family pressure or support;All country Embassy is not in Bangladesh;Visa or immigration process,Yes,Positive impact,No,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,USA,Rarely,Healthcare;Higher education;Economic opportunities,Social acceptance;Separation from family,Talking to family and friends,Yes,Financial issues;Job information or experience;Other,No,Positive impact,Yes,Yes,2
